"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,19.68,19.15
73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.41,19.79,19.21
74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.43,19.70,19.29
75.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,15.09,19.69,19.32
76.00,0.00,0.01,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.00,13.67,19.50,19.35
77.00,0.00,0.03,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.00,12.87,19.50,19.31
78.00,0.00,0.04,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.55,0.00,12.56,19.50,19.26
79.00,0.00,0.05,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67,0.00,12.25,19.50,19.23
80.00,0.00,0.06,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.79,0.00,11.88,19.50,19.19
81.00,0.00,0.07,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.89,0.00,11.58,19.50,19.16
82.00,0.00,0.08,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.98,0.00,11.43,19.50,19.14
83.00,0.00,0.08,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.04,0.00,11.48,19.50,19.11
84.00,0.00,0.09,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.10,0.00,11.53,19.50,19.10
85.00,0.00,0.09,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.13,0.00,11.68,19.50,19.08
86.00,0.00,0.09,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.14,0.00,11.93,19.50,19.08
87.00,0.00,0.09,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.15,0.00,12.10,19.50,19.07
88.00,0.00,0.09,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.14,0.00,12.24,19.50,19.07
89.00,0.00,0.09,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.13,0.00,12.50,19.50,19.07
90.00,0.00,0.09,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.10,0.00,12.68,19.50,19.08
91.00,0.00,0.08,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00,0.00,12.90,19.50,19.09
92.00,0.00,0.06,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.81,0.00,13.26,19.50,19.09
93.00,0.00,0.05,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,13.71,19.50,19.10
94.00,0.00,0.04,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.49,0.00,14.12,19.50,19.12
95.00,0.00,0.03,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.00,14.25,19.50,19.13
96.00,0.00,0.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.34,0.00,14.39,19.50,19.15
97.00,0.00,0.03,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.43,0.00,14.42,19.50,19.16
98.00,0.00,0.04,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.53,0.00,14.42,19.50,19.17
99.00,0.00,0.05,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,14.42,19.50,19.18
100.00,0.00,0.06,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.70,0.00,14.41,19.50,19.19
101.00,0.00,0.06,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.70,0.00,14.61,19.50,19.19
102.00,0.00,0.05,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67,0.00,14.89,19.50,19.20
103.00,0.00,0.05,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.64,0.00,15.15,19.50,19.21
104.00,0.00,0.05,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,15.29,19.50,19.22
105.00,0.00,0.05,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.57,0.00,15.35,19.50,19.22
106.00,0.00,0.04,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.55,0.00,15.27,19.50,19.23
107.00,0.00,0.04,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.54,0.00,15.10,19.50,19.24
108.00,0.00,0.04,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.55,0.00,14.56,19.50,19.24
109.00,0.00,0.05,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.58,0.00,14.27,19.50,19.23
110.00,0.00,0.05,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.62,0.00,13.69,19.50,19.23
111.00,0.00,0.05,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67,0.00,13.54,19.50,19.21
112.00,0.00,0.06,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.71,0.00,13.61,19.50,19.20
113.00,0.00,0.06,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.73,0.00,13.82,19.50,19.19
114.00,0.00,0.06,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.74,0.00,13.87,19.50,19.19
