"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
90.00,0.00,0.18,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.31,27.01,20.50,21.05
91.00,0.00,0.17,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,2.16,26.17,20.50,21.01
92.00,0.00,0.16,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,2.00,25.17,20.50,20.97
93.00,0.00,0.15,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1.82,24.09,20.50,20.92
94.00,0.00,0.13,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.64,23.06,20.50,20.87
95.00,0.00,0.12,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.45,22.11,20.50,20.82
96.00,0.00,0.10,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.26,21.15,20.50,20.77
97.00,0.00,0.09,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.07,20.31,20.50,20.72
98.00,0.00,0.07,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.88,19.59,20.50,20.67
99.00,0.00,0.06,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.71,18.98,20.50,20.62
100.00,0.00,0.04,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.55,18.44,20.50,20.57
101.00,0.00,0.04,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.52,18.27,20.50,20.53
102.00,0.00,0.08,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,1.03,20.10,20.50,20.49
103.00,0.00,0.14,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.79,23.76,20.50,20.49
104.00,0.00,0.21,0.00,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,2.58,27.34,20.50,20.53
105.00,0.00,0.27,0.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,3.32,30.64,20.50,20.62
106.00,0.00,0.31,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,3.92,32.79,20.50,20.72
107.00,0.00,0.34,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,4.26,34.13,20.50,20.83
108.00,0.00,0.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,4.35,34.84,20.50,20.93
109.00,0.00,0.33,0.00,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,4.18,34.97,20.50,21.02
110.00,0.00,0.30,0.00,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,3.77,34.46,20.50,21.09
111.00,0.00,0.26,0.00,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,3.21,32.90,20.50,21.14
112.00,0.00,0.22,0.00,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,2.72,28.77,20.50,21.16
113.00,0.00,0.20,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,2.53,27.58,20.50,21.12
114.00,0.00,0.19,0.00,2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,2.37,27.04,20.50,21.07
115.00,0.00,0.18,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.22,26.42,20.50,21.03
116.00,0.00,0.16,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,2.05,25.40,20.50,20.98
117.00,0.00,0.15,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1.87,24.14,20.50,20.94
118.00,0.00,0.13,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.67,22.91,20.50,20.89
119.00,0.00,0.12,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.46,21.89,20.50,20.83
120.00,0.00,0.10,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.26,21.08,20.50,20.77
121.00,0.00,0.09,0.00,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.07,20.32,20.50,20.72
122.00,0.00,0.07,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.89,19.54,20.50,20.67
123.00,0.00,0.06,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.71,18.82,20.50,20.62
124.00,0.00,0.04,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.54,18.18,20.50,20.57
