"heat_source","hour","heat_supply","heat_drain"
"electricity",267.00,0.00,0.00
"electricity",268.00,0.00,0.00
"electricity",269.00,0.00,0.00
"electricity",270.00,0.00,0.00
"electricity",271.00,0.00,0.00
"electricity",272.00,0.00,0.00
"electricity",273.00,0.00,0.00
"electricity",274.00,0.00,0.00
"electricity",275.00,0.00,0.00
"electricity",276.00,0.00,0.00
"electricity",277.00,0.00,0.00
"electricity",278.00,0.00,0.00
"electricity",279.00,0.00,0.00
"electricity",280.00,0.00,0.00
"electricity",281.00,0.00,0.00
"electricity",282.00,0.00,0.00
"electricity",283.00,0.00,0.00
"electricity",284.00,0.00,0.00
"electricity",285.00,0.00,0.00
"electricity",286.00,0.00,0.00
"electricity",287.00,0.00,0.00
"electricity",288.00,0.00,0.00
"electricity",289.00,0.00,0.00
"electricity",290.00,0.00,0.00
"electricity",291.00,0.00,0.00
"electricity",292.00,0.00,0.00
"electricity",293.00,0.00,0.00
"electricity",294.00,0.00,0.00
"electricity",295.00,0.00,0.00
"electricity",296.00,0.00,0.00
"electricity",297.00,0.00,0.00
"electricity",298.00,0.00,0.00
"electricity",299.00,0.00,0.00
"electricity",300.00,0.00,0.00
"electricity",301.00,0.00,0.00
"electricity",302.00,0.00,0.00
"electricity",303.00,0.00,0.00
"electricity",304.00,0.00,0.00
"electricity",305.00,0.00,0.00
"electricity",306.00,0.00,0.00
"electricity",307.00,0.00,0.00
"electricity",308.00,0.00,0.00
"electricity",309.00,0.00,0.00
"electricity",310.00,0.00,0.00
"electricity",311.00,0.00,0.00
"electricity",312.00,0.00,0.00
"electricity",313.00,0.00,0.00
"electricity",314.00,0.00,0.00
"electricity",315.00,0.00,0.00
"electricity",316.00,0.00,0.00
"electricity",317.00,0.00,0.00
"electricity",318.00,0.00,0.00
"electricity",319.00,0.00,0.00
"electricity",320.00,0.00,0.00
"electricity",321.00,0.00,0.00
"electricity",322.00,0.00,0.00
"electricity",323.00,0.00,0.00
"electricity",324.00,0.00,0.00
"electricity",325.00,0.00,0.00
"electricity",326.00,0.00,0.00
"electricity",327.00,0.00,0.00
"electricity",328.00,0.00,0.00
"electricity",329.00,0.00,0.00
"electricity",330.00,0.00,0.00
"electricity",331.00,0.00,0.00
"electricity",332.00,0.00,0.00
"electricity",333.00,0.00,0.00
"electricity",334.00,0.00,0.00
"electricity",335.00,0.00,0.00
"electricity",336.00,0.00,0.00
"electricity",337.00,0.00,0.00
"electricity",338.00,0.00,0.00
"electricity",339.00,0.00,0.00
"electricity",340.00,0.00,0.00
"electricity",341.00,0.00,0.00
"electricity",342.00,0.00,0.00
"electricity",343.00,0.00,0.00
"electricity",344.00,0.00,0.00
"electricity",345.00,0.00,0.00
"electricity",346.00,0.00,0.00
"electricity",347.00,0.00,0.00
"electricity",348.00,0.00,0.00
"electricity",349.00,0.00,0.00
"electricity",350.00,0.00,0.00
"electricity",351.00,0.00,0.00
"electricity",352.00,0.00,0.00
"electricity",353.00,0.00,0.00
"electricity",354.00,0.00,0.00
"electricity",355.00,0.00,0.00
"electricity",356.00,0.00,0.00
"electricity",357.00,0.00,0.00
"electricity",358.00,0.00,0.00
"electricity",359.00,0.00,0.00
"electricity",360.00,0.00,0.00
"electricity",361.00,0.00,0.00
"electricity",362.00,0.00,0.00
"electricity",363.00,0.00,0.00
"electricity",364.00,0.00,0.00
"electricity",365.00,0.00,0.00
"electricity",366.00,0.00,0.00
"electricity",367.00,0.00,0.00
"electricity",368.00,0.00,0.00
"electricity",369.00,0.00,0.00
"electricity",370.00,0.00,0.00
"electricity",371.00,0.00,0.00
"electricity",372.00,0.00,0.00
"electricity",373.00,0.00,0.00
"electricity",374.00,0.00,0.00
"electricity",375.00,0.00,0.00
"electricity",376.00,0.00,0.00
"electricity",377.00,0.00,0.00
"electricity",378.00,0.00,0.00
"electricity",379.00,0.00,0.00
"electricity",380.00,0.00,0.00
"electricity",381.00,0.00,0.00
"electricity",382.00,0.00,0.00
"electricity",383.00,0.00,0.00
"electricity",384.00,0.00,0.00
"electricity",385.00,0.00,0.00
"electricity",386.00,0.00,0.00
"electricity",387.00,0.00,0.00
"electricity",388.00,0.00,0.00
